origen,destino,algoritmo,distancia,nodos_expandidos,tiempo_interno_algoritmo,tiempo_medido_experimento,memoria_peak_KB,caso_id,num_nodos_grafo,num_aristas_grafo
20,3,dijkstra,69.41090881488448,20,0.0,0.0,2.109375,0,30,67
20,3,astar,69.41090881488448,6,0.0010077953338623047,0.0010077953338623047,5.65625,0,30,67
20,3,bidireccional,69.41090881488448,66,0.0009913444519042969,0.0009913444519042969,6.90625,0,30,67
0,23,dijkstra,18.879497007753116,4,0.0,0.0,1.8515625,1,30,67
0,23,astar,18.879497007753116,2,0.0,0.0,2.9375,1,30,67
0,23,bidireccional,18.879497007753116,68,0.0019817352294921875,0.0019817352294921875,5.203125,1,30,67
