origen,destino,algoritmo,distancia,nodos_expandidos,tiempo_interno_algoritmo,tiempo_medido_experimento,memoria_peak_KB,caso_id,num_nodos_grafo,num_aristas_grafo
81,14,dijkstra,630.6538669833275,53,0.0019578933715820312,0.0019690990447998047,9.859375,0,100,310
81,14,astar,630.6538669833275,18,0.0010721683502197266,0.0011258125305175781,13.5,0,100,310
81,14,bidireccional,630.6538669833274,234,0.007990598678588867,0.008041620254516602,23.44140625,0,100,310
3,94,dijkstra,inf,3,0.00011992454528808594,0.0001246929168701172,6.734375,1,100,310
3,94,astar,inf,3,0.0003285408020019531,0.00041484832763671875,13.3125,1,100,310
3,94,bidireccional,inf,6,0.0005085468292236328,0.0005424022674560547,13.3203125,1,100,310
35,31,dijkstra,652.7831495966426,74,0.0016307830810546875,0.0016412734985351562,8.1015625,2,100,310
35,31,astar,652.7831495966426,11,0.0007770061492919922,0.0008106231689453125,13.3984375,2,100,310
35,31,bidireccional,652.7831495966426,220,0.00604557991027832,0.006073474884033203,23.15625,2,100,310
28,17,dijkstra,101.01865945255702,10,0.00024247169494628906,0.0002465248107910156,6.734375,3,100,310
28,17,astar,101.01865945255702,2,0.00028967857360839844,0.00030875205993652344,13.3125,3,100,310
28,17,bidireccional,101.01865945255702,238,0.004812002182006836,0.004839897155761719,23.15625,3,100,310
94,13,dijkstra,871.9760238937757,93,0.001220703125,0.001226663589477539,8.2109375,4,100,310
94,13,astar,871.9760238937757,17,0.0005276203155517578,0.0005469322204589844,13.34375,4,100,310
94,13,bidireccional,871.9760238937757,232,0.004153251647949219,0.004180908203125,23.1484375,4,100,310
86,94,dijkstra,270.13742655816276,16,0.00026488304138183594,0.0002689361572265625,6.734375,5,100,310
86,94,astar,270.13742655816276,4,0.00030612945556640625,0.00032782554626464844,13.3125,5,100,310
86,94,bidireccional,270.1374265581627,230,0.004925727844238281,0.004958629608154297,23.203125,5,100,310
69,11,dijkstra,354.64519979460147,23,0.0004267692565917969,0.0004324913024902344,6.734375,6,100,310
69,11,astar,354.64519979460147,5,0.0002961158752441406,0.0003180503845214844,13.3125,6,100,310
69,11,bidireccional,354.64519979460147,238,0.004609346389770508,0.004639148712158203,23.25,6,100,310
75,54,dijkstra,906.736046299759,53,0.0008046627044677734,0.0008094310760498047,8.2265625,7,100,310
75,54,astar,906.736046299759,14,0.00046753883361816406,0.0004885196685791016,13.3125,7,100,310
75,54,bidireccional,906.7360462997589,234,0.004369258880615234,0.004395008087158203,23.2734375,7,100,310
4,3,dijkstra,inf,124,0.0015118122100830078,0.0015158653259277344,11.6640625,8,100,310
4,3,astar,inf,133,0.0027267932891845703,0.0027496814727783203,18.609375,8,100,310
4,3,bidireccional,inf,6,0.0002608299255371094,0.00028514862060546875,13.3203125,8,100,310
11,27,dijkstra,1206.9766906758962,99,0.0012295246124267578,0.0012340545654296875,11.6640625,9,100,310
11,27,astar,1206.9766906758962,22,0.000560760498046875,0.0005812644958496094,13.3203125,9,100,310
11,27,bidireccional,1206.9766906758962,228,0.0050318241119384766,0.005076408386230469,23.296875,9,100,310
29,64,dijkstra,181.13379722781542,9,0.0001747608184814453,0.0001785755157470703,6.734375,10,100,310
29,64,astar,181.13379722781542,3,0.00023603439331054688,0.0002574920654296875,13.3125,10,100,310
